path,mean_r,mean_g,mean_b,var_r,var_g,var_b,entropy_r,entropy_g,entropy_b,centroid_x,centroid_y,orientation,eccentricity,edge_density
../../photos/SORTED_STARS_CROPPED/0092/4572.jpg,51.5307,40.4195,23.1631,1355.4192575099999,882.58971975,390.72529839,5.800064292626301,5.445514569885625,5.314136016419852,46.062561956162575,42.500986509719034,-0.5600753873450428,0.5276665038963286,0.8566
../../photos/SORTED_STARS_CROPPED/0092/4599.jpg,47.032,36.8319,20.0004,878.2871759999999,572.9244423900001,263.57019984,5.976561022915465,5.544075031815753,5.294614842728853,43.30508934546739,48.33372942893729,-1.4426737450132576,0.5061061501191877,0.8983
../../photos/SORTED_STARS_CROPPED/0092/4598.jpg,49.3073,39.0573,22.6356,1058.73286671,703.26441671,336.65021264000006,5.938490824615899,5.568273822263115,5.377013118392606,44.263996521523076,47.07007391763464,-1.4258605936873219,0.4143381849237213,0.9065
../../photos/SORTED_STARS_CROPPED/0092/4573.jpg,38.2539,29.6531,14.3516,843.9458347900002,531.80456039,216.80797744,5.471132427094308,5.192605669175833,4.874754770447446,49.61895449071537,42.80053223779414,-0.46093605300796564,0.3704679379755821,0.8286
../../photos/SORTED_STARS_CROPPED/0092/4567.jpg,54.5277,42.914,26.453,1149.26203271,777.212004,407.656591,6.066221985738711,5.7570257592094904,5.523169611528821,46.11356670321966,47.66380534632463,-1.2020531730329505,0.4815696642594504,0.915
../../photos/SORTED_STARS_CROPPED/0092/4563.jpg,50.6714,40.0523,25.5653,1345.6016220399997,916.0847647100002,483.54413591,6.012001295835283,5.679560644739005,5.409754063238696,48.160072466034556,47.0041429784695,-1.1164223241704043,0.335847888396311,0.9162
../../photos/SORTED_STARS_CROPPED/0092/4577.jpg,36.5187,28.5325,13.6413,795.3942503100001,509.96394375,199.31083431000002,5.388062417271153,5.07856516034853,4.785128723321718,51.11930648019541,41.45551579509144,-0.32542817848773287,0.29325674847890976,0.8146
../../photos/SORTED_STARS_CROPPED/0092/4588.jpg,36.5218,27.9894,13.2554,631.72832476,411.92888763999997,170.29457084,5.595121621402082,5.3399679466201295,4.907509832458129,49.82891614677691,43.09003301198893,0.1448693170150992,0.4172635256766134,0.8782
../../photos/SORTED_STARS_CROPPED/0092/4589.jpg,41.6632,32.4627,18.1208,952.79756576,633.78820871,276.35040735999996,5.663917947170618,5.298603406930139,4.994680499748401,47.31556085207806,41.90927156263965,0.09412316014710144,0.40607804023961186,0.854
../../photos/SORTED_STARS_CROPPED/0092/4576.jpg,38.2861,29.7154,14.9655,851.73564679,544.77740284,224.50790975,5.360263100942105,5.106598099777899,4.894546112394091,51.32533669483887,41.97504669967212,-0.45815603690899037,0.2692570700746426,0.8174
